sale_month,sale_year,cpi_value,correction_term_dec_2004,geo_code,parcel,amt_Price,sale_date,year_built,HEATED,BATHS,BEDROOMS,neighborhood,distance,srn,offender_address_date,building_grade,offender,streetname,BQM1,BQM2,AIRCOND,HEIGHT,WALL,AGE,NEW,orig_distance,close_offender,post_move,close_post_move,neighbor_year,CNTLBQM1_2,CNTLBQM1_3,CNTLBQM1_4,CNTLBQM1_5,CNTLBQM1_6,CNTLWALL_2,CNTLWALL_3,CNTLWALL_4,CNTLWALL_5,CNTLWALL_6,CNTLWALL_7,CNTLWALL_8,CNTLWALL_9,CNTLWALL_10,CNTLHEIGHT_2,CNTLHEIGHT_3,CNTLHEIGHT_4,CNTLHEIGHT_5,CNTLHEIGHT_6,log_price,dist_post,post,srn_year,offdays
4,2002,173.10000610351562,1.1091854572296143,371190064005,00516660,122010.40029525757,2002-04-08,1987,1428,2,3,PINE RIDGE DR AREA,0.1927456259727478,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,1,"ALUM,VINYL",15,0,0.5782368779182434,0,1,0,5080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.711861610412598,0,Post,006943S11-2002,102
8,2000,168,1.1428571939468384,371190064005,00517120,214285.7238650322,2000-08-02,1990,3012,2,3,WILLOW POND,0.3234962423642476,006943S11,2001-12-27,b04,1, LACEBARK DR,2,4,1,2,MASONITE,10,0,0.9704887270927429,0,0,0,7352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12.275065422058105,0,Pre,006943S11-2000,-512
1,2001,169.3000030517578,1.134081482887268,371190064005,00517124,157637.32612133026,2001-01-02,1990,1970,2,3,WILLOW POND,0.31425046920776367,006943S11,2001-12-27,b04,1, LACEBARK DR,2,4,1,1.5,MASONITE,11,0,0.942751407623291,0,0,0,7353,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11.96805191040039,0,Pre,006943S11-2001,-359
10,2001,171.6999969482422,1.1182295083999634,371190064005,00517127,199044.85249519348,2001-10-16,1992,2180,2,3,WILLOW POND,0.3128069241841634,006943S11,2001-12-27,b04,1, WILLOW POND RD,2,4,1,2,MASONITE,9,0,0.9384207725524902,0,0,0,7353,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12.201285362243652,0,Pre,006943S11-2001,-72
8,2002,173.8000030517578,1.1047180891036987,371190064005,00517128,151346.37820720673,2002-08-02,1994,1648,2,3,WILLOW POND,0.32999322811762494,006943S11,2001-12-27,b04,1, WILLOW POND RD,2,4,1,2,MASONITE,8,0,0.9899796843528748,0,1,0,7354,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11.927326202392578,0,Post,006943S11-2002,218
4,2000,166.6999969482422,1.1517696380615234,371190064005,00517168,159520.094871521,2000-04-05,1994,1510,2,3,WILLOW POND,0.31589601437250775,006943S11,2001-12-27,b04,1, WILLOW POND RD,2,4,1,2,MASONITE,6,0,0.9476880431175232,0,0,0,7352,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11.979925155639648,0,Pre,006943S11-2000,-631
8,2003,177.89999389648438,1.0792579650878906,371190064005,00517306,195345.6916809082,2003-08-06,1994,2648,2,3,WILLOW POND,0.23245169719060263,006943S11,2001-12-27,b04,1, WILLOW POND RD,2,4,1,2,"ALUM,VINYL",9,0,0.6973550915718079,0,1,0,7355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.182525634765625,0,Post,006943S11-2003,587
10,2003,178.10000610351562,1.0780460834503174,371190064005,00520215,63065.69588184357,2003-10-06,1921,1108,1,2,CORNELIUS,0.302962323029836,006943S11,2001-12-27,a03,1, CENTER ST,1,3,0,1,"ALUM,VINYL",30,0,0.9088869690895081,0,1,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.051932334899902,0,Post,006943S11-2003,648
10,2003,178.10000610351562,1.0780460834503174,371190064005,00520310,67377.88021564484,2003-10-06,1921,936,1,2,CORNELIUS,0.28267931938171387,006943S11,2001-12-27,a03,1, CENTER ST,1,3,0,1,ASB SHNG/SDG,30,0,0.8480379581451416,0,1,0,1516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.118072509765625,0,Post,006943S11-2003,648
12,2002,174.60000610351562,1.099656343460083,371190064005,00520311,39587.62836456299,2002-12-02,1921,1240,1,3,CORNELIUS,0.29210905234018963,006943S11,2001-12-27,a03,1, MERIDIAN ST,1,3,0,1,WOOD ON SHTG,30,0,0.8763271570205688,0,1,0,1515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.586272239685059,0,Post,006943S11-2002,340
