code_Coutry_Region,Country_ISO,year,Latitude,Longitude,log_GDP_pc_Region,log_Light_ppix_Region,satyear_1,satyear_2,satyear_3,satyear_4,satyear_5,satyear_6,satyear_7
1286,TUR,2000,36.795414,30.925414,9.244868278503418,0.849410891532898,0,0,0,0,1,0,0
209,COL,2005,6.926423,-75.576734,9.09699535369873,0.37258192896842957,0,0,0,0,0,1,0
209,COL,1995,6.926423,-75.576734,9.012081146240234,0.7394463419914246,0,0,1,0,0,0,0
209,COL,2010,6.926423,-75.576734,9.216575622558594,1.0517194271087646,0,0,0,0,0,0,0
209,COL,2000,6.926423,-75.576734,9.052136421203613,0.5953046679496765,0,0,0,0,1,0,0
170,CHL,1995,-23.469397,-69.119916,9.728668212890625,-1.3861051797866821,0,0,1,0,0,0,0
170,CHL,2000,-23.469397,-69.119916,10.156153678894043,-1.0579663515090942,0,0,0,0,1,0,0
170,CHL,2010,-23.469397,-69.119916,10.913830757141113,-0.4236143231391907,0,0,0,0,0,0,0
561,JPN,2009,40.781541,140.828896,10.122831344604492,2.4219322204589844,0,0,0,0,0,0,1
561,JPN,2000,40.781541,140.828896,10.016079902648926,2.459705114364624,0,0,0,0,1,0,0
561,JPN,2005,40.781541,140.828896,10.018112182617188,2.342012405395508,0,0,0,0,0,1,0
561,JPN,1995,40.781541,140.828896,9.967375755310059,2.364708185195923,0,0,1,0,0,0,0
1165,CHE,2010,47.345906,9.388481,10.351569175720215,3.2751049995422363,0,0,0,0,0,0,0
1165,CHE,2005,47.345906,9.388481,10.384807586669922,2.8054068088531494,0,0,0,0,0,1,0
1165,CHE,1995,47.345906,9.388481,10.2352876663208,2.647273063659668,0,0,1,0,0,0,0
1165,CHE,2000,47.345906,9.388481,10.509796142578125,2.580270290374756,0,0,0,0,1,0,0
868,PER,1995,-14.033317,-72.983975,7.215764045715332,-1.9948970079421997,0,0,1,0,0,0,0
868,PER,2005,-14.033317,-72.983975,7.710287094116211,-2.1555445194244385,0,0,0,0,0,1,0
868,PER,2010,-14.033317,-72.983975,8.010933876037598,-1.1182805299758911,0,0,0,0,0,0,0
868,PER,2001,-14.033317,-72.983975,7.469716548919678,-1.8549953699111938,0,0,0,0,1,0,0
608,JOR,1997,29.834485,35.348138,8.702400207519531,0.19124874472618103,0,0,0,1,0,0,0
608,JOR,2010,29.834485,35.348138,9.098820686340332,1.3118765354156494,0,0,0,0,0,0,0
608,JOR,2002,29.834485,35.348138,8.735509872436523,0.6669514775276184,0,0,0,0,1,0,0
351,FRA,2000,44.354805,-0.227817,10.153207778930664,1.9566320180892944,0,0,0,0,1,0,0
351,FRA,1995,44.354805,-0.227817,9.985747337341309,1.9687166213989258,0,0,1,0,0,0,0
351,FRA,2010,44.354805,-0.227817,10.2582368850708,2.3291678428649902,0,0,0,0,0,0,0
351,FRA,2005,44.354805,-0.227817,10.20649528503418,1.8696728944778442,0,0,0,0,0,1,0
917,ROU,2005,46.273313,21.758126,9.311023712158203,1.1487724781036377,0,0,0,0,0,1,0
917,ROU,1995,46.273313,21.758126,8.824795722961426,0.6820687651634216,0,0,1,0,0,0,0
917,ROU,2010,46.273313,21.758126,9.663495063781738,1.2985502481460571,0,0,0,0,0,0,0
917,ROU,2000,46.273313,21.758126,8.873034477233887,1.1812560558319092,0,0,0,0,1,0,0
171,CHL,1995,-38.62289,-72.248561,8.344537734985352,-0.5291885733604431,0,0,1,0,0,0,0
171,CHL,2000,-38.62289,-72.248561,8.561911582946777,-0.3146294057369232,0,0,0,0,1,0,0
171,CHL,2010,-38.62289,-72.248561,8.756721496582031,0.3671128749847412,0,0,0,0,0,0,0
507,IRN,2000,38.446116,48.046552,8.5661163330078125,1.088509440422058,0,0,0,0,1,0,0
507,IRN,2005,38.446116,48.046552,8.730656623840332,1.0718011856079102,0,0,0,0,0,1,0
507,IRN,2010,38.446116,48.046552,8.953839302062988,1.668748140335083,0,0,0,0,0,0,0
869,PER,2010,-15.852773,-72.45956,9.453644752502441,-0.1126500740647316,0,0,0,0,0,0,0
869,PER,2001,-15.852773,-72.45956,8.9415864944458,-0.7912689447402954,0,0,0,0,1,0,0
869,PER,1995,-15.852773,-72.45956,8.949929237365723,-0.9750881791114807,0,0,1,0,0,0,0
869,PER,2005,-15.852773,-72.45956,9.135693550109863,-0.8100646138191223,0,0,0,0,0,1,0
918,ROU,2005,45.043082,24.887831,9.280245780944824,1.3662357330322266,0,0,0,0,0,1,0
918,ROU,2000,45.043082,24.887831,8.815899848937988,1.5311994552612305,0,0,0,0,1,0,0
918,ROU,2010,45.043082,24.887831,9.65790843963623,1.9422247409820557,0,0,0,0,0,0,0
918,ROU,1995,45.043082,24.887831,8.87436580657959,1.2098629474639893,0,0,1,0,0,0,0
1386,USA,2005,34.296624,-111.657673,10.605199813842773,0.702089250087738,0,0,0,0,0,1,0
1386,USA,2010,34.296624,-111.657673,10.545975685119629,1.0250771045684814,0,0,0,0,0,0,0
1386,USA,2000,34.296624,-111.657673,10.479141235351562,0.7579024434089661,0,0,0,0,1,0,0
1386,USA,1995,34.296624,-111.657673,10.324840545654297,0.6914493441581726,0,0,1,0,0,0,0
1387,USA,2005,34.900748,-92.442778,10.459639549255371,1.3889355659484863,0,0,0,0,0,1,0
1387,USA,2000,34.900748,-92.442778,10.326637268066406,1.6679586172103882,0,0,0,0,1,0,0
1387,USA,2010,34.900748,-92.442778,10.494466781616211,1.810292363166809,0,0,0,0,0,0,0
1387,USA,1995,34.900748,-92.442778,10.225654602050781,1.5132335424423218,0,0,1,0,0,0,0
751,MNG,2010,47.88652,101.02723400000001,8.300638198852539,-4.005162715911865,0,0,0,0,0,0,0
751,MNG,1995,47.88652,101.02723400000001,7.361532211303711,-4.605170249938965,0,0,1,0,0,0,0
751,MNG,2000,47.88652,101.02723400000001,7.542907238006592,-4.605170249938965,0,0,0,0,1,0,0
751,MNG,2004,47.88652,101.02723400000001,7.813230514526367,-4.605170249938965,0,0,0,0,0,1,0
961,RUS,2000,67.89702,50.388487,9.059112548828125,-1.347943902015686,0,0,0,0,1,0,0
961,RUS,2005,67.89702,50.388487,9.386929512023926,-1.008392572402954,0,0,0,0,0,1,0
961,RUS,1995,67.89702,50.388487,8.803466796875,-1.0816951990127563,0,0,1,0,0,0,0
961,RUS,2010,67.89702,50.388487,9.922691345214844,-0.41739970445632935,0,0,0,0,0,0,0
1435,URY,1995,-30.62165,-56.958594,8.7520751953125,-1.5021588802337646,0,0,1,0,0,0,0
1435,URY,2000,-30.62165,-56.958594,8.8056058883667,-1.409793496131897,0,0,0,0,1,0,0
1287,TUR,1995,41.112528,41.809896,8.742836952209473,-0.6203210353851318,0,0,1,0,0,0,0
