Country_ISO,year,pred_GDP_pc_Region,GDP_pc_Region,Light_Region,Light_Country,Pop_Region,Pop_Country
BGD,1999,1193.79638671875,1064.9376220703125,3769,354688.5,3636070.75,132504080
BGD,2005,1549.450927734375,1622.7396240234375,5262.5,339978,3995251.5,150084624
BGD,1995,1209.074462890625,1145.208740234375,20460,387812,5734692.5,121624304
BGD,1999,1300.2042236328125,1291.369140625,16651,354688.5,6191241.5,132504080
BGD,2005,1624.2613525390625,1841.8065185546875,15960.5,339978,6911970,150084624
BGD,1995,1154.57763671875,1281.3995361328125,17912,387812,5397579.5,121624304
BGD,1999,1212.461181640625,1466.8720703125,13837,354688.5,5797402,132504080
BGD,2005,1485.3663330078125,1991.6429443359375,11101,339978,6424154.5,150084624
BGD,1995,1261.189453125,1090.310791015625,16324,387812,3420810,121624304
BGD,1999,1340.938720703125,1218.0042724609375,12102,354688.5,3734233.25,132504080
BGD,2005,1657.8031005859375,1426.14306640625,10470,339978,4237302,150084624
BGD,1995,1111.2431640625,1009.8853149414062,13915,387812,9005222,121624304
BGD,1999,1193.013916015625,1135.7718505859375,11095,354688.5,9689044,132504080
BGD,2005,1517.7880859375,1320.19482421875,12817.5,339978,10762565,150084624
BGD,1995,1218.15478515625,959.83892822265625,15879,387812,4767568,121624304
BGD,1999,1324.6876220703125,1081.982421875,14296.5,354688.5,5167516,132504080
BGD,2005,1620.695556640625,1255.7713623046875,11313,339978,5802880,150084624
BGD,1995,1212.1981201171875,1076.109375,15486,387812,5113872,121624304
BGD,1999,1325.89208984375,1210.709716796875,14830.5,354688.5,5806292.5,132504080
BGD,2005,1681.9539794921875,1657.6041259765625,16269,339978,6984263.5,150084624
BGD,1995,1017.8573608398438,1195.444091796875,3257,387812,3269361.5,121624304
BGD,1999,1147.469482421875,1337.8173828125,4168,354688.5,3504395,132504080
BGD,2005,1370.4261474609375,1627.4981689453125,2612.5,339978,3871431,150084624
BGD,1995,1168.8253173828125,1045.659912109375,22204,387812,7549326.5,121624304
BGD,1999,1257.509521484375,1206.0277099609375,18092.5,354688.5,8170981.5,132504080
BGD,2005,1591.347412109375,1556.1080322265625,19679.5,339978,9156965,150084624
BGD,1995,1151.4656982421875,907.679931640625,19789,387812,8984651,121624304
BGD,1999,1251.9405517578125,1051.4095458984375,17806.5,354688.5,9674508,132504080
BGD,2005,1579.8212890625,1284.6763916015625,18850.5,339978,10758422,150084624
BGD,1995,1161.996826171875,994.48907470703125,27731,387812,8133797.5,121624304
BGD,1999,1283.381591796875,1121.0546875,29067,354688.5,8801328,132504080
BGD,2005,1586.248779296875,1345.1956787109375,25399,339978,9855897,150084624
BGD,1995,1197.1156005859375,902.03118896484375,9626,387812,3287877.75,121624304
BGD,1999,1309.1845703125,1044.653564453125,9216,354688.5,3484709.75,132504080
BGD,2005,1629.239013671875,1362.325927734375,8525.5,339978,3786566,150084624
BEL,1995,29464.607421875,32679.396484375,221286,1662112,1633520.75,10125540
BEL,2000,32690.576171875,37264.9453125,223766,1616873,1650405,10237615
BEL,2005,34295.2578125,39034.03515625,190937.5,1357151.5,1655606,10284005
BEL,2010,36424.20703125,41137.26171875,271529,2162302,1652906,10282747
