GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country
COLr119,Quindio,Colombia,Y2019,0.69,0.897,0.779,0.784,591.5,Quindio (COL)
COLr120,Risaralda,Colombia,Y2013,0.609,0.873,0.756,0.738,921.7,Risaralda (COL)
COLr120,Risaralda,Colombia,Y2019,0.643,0.891,0.77,0.761,995.7,Risaralda (COL)
COLr121,Santander,Colombia,Y2013,0.637,0.869,0.742,0.743,2129.7,Santander (COL)
COLr121,Santander,Colombia,Y2019,0.697,0.883,0.765,0.778,2156.0,Santander (COL)
COLr122,Sucre,Colombia,Y2013,0.592,0.874,0.691,0.71,835.6,Sucre (COL)
COLr122,Sucre,Colombia,Y2019,0.641,0.9,0.712,0.744,891.0,Sucre (COL)
COLr123,Tolima,Colombia,Y2013,0.608,0.858,0.716,0.72,1405.7,Tolima (COL)
COLr123,Tolima,Colombia,Y2019,0.648,0.887,0.725,0.747,1473.4,Tolima (COL)
COLr124,Valle (incl Cali),Colombia,Y2013,0.659,0.877,0.763,0.761,4420.4,Valle (incl Cali) (COL)
COLr124,Valle (incl Cali),Colombia,Y2019,0.71,0.896,0.778,0.791,4827.0,Valle (incl Cali) (COL)
COLr125,Arauca,Colombia,Y2013,0.6,0.873,0.73,0.726,220.0,Arauca (COL)
COLr125,Arauca,Colombia,Y2019,0.633,0.87,0.737,0.74,274.4,Arauca (COL)
COLr126,Casanare,Colombia,Y2013,0.61,0.881,0.716,0.727,332.3,Casanare (COL)
COLr126,Casanare,Colombia,Y2019,0.649,0.893,0.727,0.75,373.0,Casanare (COL)
COLr127,Putumayo,Colombia,Y2013,0.581,0.828,0.689,0.692,329.8,Putumayo (COL)
COLr127,Putumayo,Colombia,Y2019,0.626,0.836,0.706,0.717,360.9,Putumayo (COL)
COLr128,San Andres,Colombia,Y2013,0.694,0.87,0.752,0.769,68.9,San Andres (COL)
COLr128,San Andres,Colombia,Y2019,0.727,0.886,0.761,0.789,80.0,San Andres (COL)
COLr129,Amazonas,Colombia,Y2013,0.607,0.825,0.638,0.684,83.8,Amazonas (COL)
COLr129,Amazonas,Colombia,Y2019,0.664,0.831,0.667,0.717,79.5,Amazonas (COL)
COLr130,Guainja,Colombia,Y2013,0.56,0.861,0.604,0.663,33.7,Guainja (COL)
COLr130,Guainja,Colombia,Y2019,0.568,0.888,0.595,0.67,43.3,Guainja (COL)
COLr131,Guaviare,Colombia,Y2013,0.621,0.874,0.703,0.725,55.4,Guaviare (COL)
COLr131,Guaviare,Colombia,Y2019,0.671,0.886,0.725,0.755,68.0,Guaviare (COL)
COLr132,Vaupis,Colombia,Y2013,0.595,0.81,0.563,0.648,32.7,Vaupis (COL)
COLr132,Vaupis,Colombia,Y2019,0.609,0.792,0.54,0.639,45.8,Vaupis (COL)
COLr133,Vichada,Colombia,Y2013,0.591,0.863,0.7,0.709,39.2,Vichada (COL)
COLr133,Vichada,Colombia,Y2019,0.653,0.89,0.738,0.754,32.7,Vichada (COL)
ECUr101,Coste,Ecuador,Y2013,0.7,0.857,0.711,0.753,7230.5,Coste (ECU)
ECUr101,Coste,Ecuador,Y2019,0.704,0.877,0.703,0.757,7997.4,Coste (ECU)
ECUr102,Sierra,Ecuador,Y2013,0.712,0.857,0.743,0.768,6514.8,Sierra (ECU)
ECUr102,Sierra,Ecuador,Y2019,0.715,0.877,0.735,0.772,7205.9,Sierra (ECU)
ECUr103,Oriente,Ecuador,Y2013,0.651,0.857,0.666,0.719,1962.2,Oriente (ECU)
ECUr103,Oriente,Ecuador,Y2019,0.654,0.877,0.659,0.723,2170.3,Oriente (ECU)
GUYr101,Barima-Waini,Guyana,Y2013,0.483,0.745,0.534,0.577,17.7,Barima-Waini (GUY)
GUYr101,Barima-Waini,Guyana,Y2019,0.487,0.758,0.562,0.592,14.5,Barima-Waini (GUY)
GUYr102,Pomeroon-Supenaam,Guyana,Y2013,0.55,0.763,0.617,0.638,43.0,Pomeroon-Supenaam (GUY)
GUYr102,Pomeroon-Supenaam,Guyana,Y2019,0.562,0.777,0.644,0.655,43.4,Pomeroon-Supenaam (GUY)
GUYr103,Essequibo Islands-West Demerara,Guyana,Y2013,0.582,0.727,0.664,0.655,116.0,Essequibo Islands-West De (GUY)
GUYr103,Essequibo Islands-West Demerara,Guyana,Y2019,0.591,0.737,0.691,0.67,123.2,Essequibo Islands-West De (GUY)
GUYr104,Demerara-Mahaica,Guyana,Y2013,0.622,0.756,0.688,0.687,330.8,Demerara-Mahaica (GUY)
GUYr104,Demerara-Mahaica,Guyana,Y2019,0.628,0.774,0.712,0.702,346.6,Demerara-Mahaica (GUY)
GUYr105,Mahaica-Berbice,Guyana,Y2013,0.574,0.769,0.655,0.661,52.7,Mahaica-Berbice (GUY)
GUYr105,Mahaica-Berbice,Guyana,Y2019,0.583,0.794,0.678,0.68,53.6,Mahaica-Berbice (GUY)
GUYr106,East Berbice-Corentyne,Guyana,Y2013,0.549,0.765,0.671,0.656,112.9,East Berbice-Corentyne (GUY)
GUYr106,East Berbice-Corentyne,Guyana,Y2019,0.55,0.793,0.692,0.671,114.7,East Berbice-Corentyne (GUY)
GUYr107,Cuyuni-Mazaruni,Guyana,Y2013,0.576,0.722,0.578,0.622,13.3,Cuyuni-Mazaruni (GUY)
GUYr107,Cuyuni-Mazaruni,Guyana,Y2019,0.582,0.732,0.605,0.636,12.6,Cuyuni-Mazaruni (GUY)
GUYr108,Potaro-Siparuni,Guyana,Y2013,0.522,0.735,0.443,0.554,10.0,Potaro-Siparuni (GUY)
GUYr108,Potaro-Siparuni,Guyana,Y2019,0.517,0.747,0.45,0.558,8.6,Potaro-Siparuni (GUY)
GUYr109,Upper Takutu-Upper Essequibo,Guyana,Y2013,0.567,0.751,0.47,0.585,23.5,Upper Takutu-Upper Essequ (GUY)
GUYr109,Upper Takutu-Upper Essequibo,Guyana,Y2019,0.574,0.773,0.489,0.601,26.3,Upper Takutu-Upper Essequ (GUY)
GUYr110,Upper Demerara-Berbice,Guyana,Y2013,0.658,0.742,0.672,0.69,39.3,Upper Demerara-Berbice (GUY)
GUYr110,Upper Demerara-Berbice,Guyana,Y2019,0.664,0.758,0.693,0.704,39.5,Upper Demerara-Berbice (GUY)
PERr101,"North (Tumbes, Piura, Lambayeque, Cajamarca, La Libertad)",Peru,Y2013,0.634,0.857,0.684,0.719,6396.0,"North (Tumbes, Piura, Lam (PER)"
PERr101,"North (Tumbes, Piura, Lambayeque, Cajamarca, La Libertad)",Peru,Y2019,0.673,0.879,0.699,0.745,6983.9,"North (Tumbes, Piura, Lam (PER)"
PERr102,"North East (Amazonas, Loreto, San Martin, Ucayali)",Peru,Y2013,0.613,0.821,0.654,0.69,2779.7,"North East (Amazonas, Lor (PER)"
PERr102,"North East (Amazonas, Loreto, San Martin, Ucayali)",Peru,Y2019,0.651,0.842,0.668,0.716,3035.2,"North East (Amazonas, Lor (PER)"
PERr103,"East (Madre de Dios, Cusco, Puno, Apurimac)",Peru,Y2013,0.632,0.82,0.635,0.69,3385.3,"East (Madre de Dios, Cusc (PER)"
PERr103,"East (Madre de Dios, Cusco, Puno, Apurimac)",Peru,Y2019,0.67,0.841,0.649,0.715,3696.4,"East (Madre de Dios, Cusc (PER)"
PERr104,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)",Peru,Y2013,0.733,0.866,0.719,0.77,3319.8,"South (Tacna, Moquegua, A (PER)"
PERr104,"South (Tacna, Moquegua, Arequipa, Ica, Ayacucho)",Peru,Y2019,0.779,0.888,0.734,0.797,3624.9,"South (Tacna, Moquegua, A (PER)"
PERr105,"West (Ancash, Lima, Callao)",Peru,Y2013,0.772,0.868,0.781,0.806,10839.5,"West (Ancash, Lima, Calla (PER)"
PERr105,"West (Ancash, Lima, Callao)",Peru,Y2019,0.822,0.89,0.797,0.835,11835.8,"West (Ancash, Lima, Calla (PER)"
PERr106,"Central (Huancavelica, Huanuco, Junin, Pasco)",Peru,Y2013,0.642,0.838,0.655,0.706,3053.6,"Central (Huancavelica, Hu (PER)"
PERr106,"Central (Huancavelica, Huanuco, Junin, Pasco)",Peru,Y2019,0.681,0.859,0.669,0.732,3334.3,"Central (Huancavelica, Hu (PER)"
PRYr101,"North-West (Boqueron, Alto Paraguay, Presidente Hayes, Conception, Amambay, San pedro, Cordillera)",Paraguay,Y2013,0.603,0.805,0.666,0.686,1169.6,"North-West (Boqueron, Alt (PRY)"
PRYr101,"North-West (Boqueron, Alto Paraguay, Presidente Hayes, Conception, Amambay, San pedro, Cordillera)",Paraguay,Y2019,0.615,0.82,0.684,0.701,1265.6,"North-West (Boqueron, Alt (PRY)"
PRYr102,"North-East (Caaguazu, Alto Parana, Canideyu)",Paraguay,Y2013,0.599,0.807,0.685,0.692,1512.9,"North-East (Caaguazu, Alt (PRY)"
PRYr102,"North-East (Caaguazu, Alto Parana, Canideyu)",Paraguay,Y2019,0.61,0.822,0.704,0.707,1637.1,"North-East (Caaguazu, Alt (PRY)"
PRYr103,"South-West (Caazapa, Itapua)",Paraguay,Y2013,0.596,0.822,0.688,0.696,676.4,"South-West (Caazapa, Itap (PRY)"
PRYr103,"South-West (Caazapa, Itapua)",Paraguay,Y2019,0.607,0.837,0.707,0.711,731.9,"South-West (Caazapa, Itap (PRY)"
PRYr104,"South-East (Guaira, Misiones, Paraguari, Neembucu)",Paraguay,Y2013,0.592,0.827,0.703,0.701,861.0,"South-East (Guaira, Misio (PRY)"
PRYr104,"South-East (Guaira, Misiones, Paraguari, Neembucu)",Paraguay,Y2019,0.603,0.843,0.722,0.716,931.7,"South-East (Guaira, Misio (PRY)"
