former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,lyld,D_lyld,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
12,12,6,4.0,3.2980964403920563,102808440.0,47.032295,48.099197,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.8508346,3.8732655,0.5307943634799358,1.3575140335056175,1.9604748399797103,1.1933454657935698,0.10558461856250756,110.69026805269522,2.8736858,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,7,4.0,3.392888888888889,102808440.0,39.80282,39.626625,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.6839378,3.6795013,0.5307943634799358,1.3575140335056175,1.9604748399797103,1.2216817381067093,0.02833627231313951,129.13864606147777,3.3526335,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,8,4.0,3.3477777777777775,102808440.0,43.170643,43.241646,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.7651608,3.766804,0.5307943634799358,1.3575140335056175,1.9604748399797103,1.2082967758059904,-0.01338496230071895,147.5870240702603,3.831581,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,1,4.0,2.760979511237075,58838220.0,39.453384,39.101135,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.6751199,3.6661515,0.26741631737306104,0.438038122412137,0.39353393052767416,1.0155855121443425,,17.89030220171035,0.4761745,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,2,4.0,2.5246534854903953,58838220.0,35.797646,37.02188,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.577882,3.611509,0.26741631737306104,0.438038122412137,0.39353393052767416,0.9261038198407986,-0.08948169230354386,35.7806044034207,0.952349,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,3,4.0,2.612402563866787,58838220.0,36.33549,35.492386,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.592795,3.5693183,0.26741631737306104,0.438038122412137,0.39353393052767416,0.9602703204678659,0.034166500627067276,53.67090660513105,1.4285235,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,4,4.0,3.211373013513361,58838220.0,40.513412,38.828648,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.701633,3.6591582,0.26741631737306104,0.438038122412137,0.39353393052767416,1.1666985757579638,0.2064282552900979,71.5612088068414,1.904698,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,5,4.0,3.4541895285861366,58838220.0,40.283134,38.930916,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.6959329,3.6617887,0.26741631737306104,0.438038122412137,0.39353393052767416,1.2395878504211868,0.07288927466322304,89.45151100855176,2.3808725,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,6,4.0,3.670624796361906,58838220.0,44.571785,46.36983,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.797101,3.8366492,0.26741631737306104,0.438038122412137,0.39353393052767416,1.300361891816874,0.060774041395687206,107.3418132102621,2.857047,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,7,4.0,3.972,58838220.0,35.46146,35.522484,115949.83,145069.19,0,0.0,0.0,115.94983,0.4761745,17.89030220171035,3.5684464,3.5701659,0.26741631737306104,0.438038122412137,0.39353393052767416,1.3792697461829262,0.07890785436605219,125.23211541197246,3.3332214,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
