geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,lmn,D_lmn,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10602,7,1.615,1.0,6.0,147780.0,56.433174,57.8404,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.050622,4.0576878,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,0.96126413,-0.05998707,83.32435972239847,27.754753,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,1,2.7,1.0,6.0,134660.0,58.486,56.496067,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.085741,4.034171,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.3083328,,11.810508362099272,4.239686,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,2,3.7033334,1.0,6.0,134660.0,53.283184,51.787785,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,3.9942145,3.9471543,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.5482715,0.23993874,23.621016724198544,8.479372,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,3,3.805,1.0,6.0,134660.0,57.75365,58.557186,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.0733533,4.070004,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.5696571,0.02138555,35.43152508629782,12.719058,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,4,3.7133334,1.0,6.0,134660.0,56.53681,52.058174,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.052425,3.9523618,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.5503954,-0.019261718,47.24203344839709,16.958744,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,5,2.4133334,1.0,6.0,134660.0,60.79795,60.264606,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.1238704,4.098745,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.2276894,-0.32270598,59.05254181049636,21.19843,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,6,3.8466666,1.0,6.0,134660.0,53.039227,51.982544,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,3.9897103,3.950908,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.5782912,0.3506018,70.86305017259563,25.438116,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10603,7,4.13,1.0,6.0,134660.0,56.99997,58.734093,185040.22,68386.05,0,0.0,0.0,68.38605,4.239686,11.810508362099272,4.0604424,4.0730205,0.41087963196795324,0.7030705435812034,0.7401630628680205,0.7030705435812034,0.7401630628680205,1.6351057,0.05681455,82.6735585346949,29.677803,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10607,1,1.23,1.0,6.0,335790.0,60.215034,58.547474,214123.53,97637.04,0,0.0,0.0,97.63704,4.591447,12.724241243551424,4.1143928,4.069838,0.5465933603438046,1.2152476896503477,1.2663829379639528,1.2152476896503477,1.2663829379639528,0.8020016,,12.724241243551424,4.591447,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10607,2,1.56,1.0,6.0,335790.0,54.469414,53.20054,214123.53,97637.04,0,0.0,0.0,97.63704,4.591447,12.724241243551424,4.015832,3.9740686,0.5465933603438046,1.2152476896503477,1.2663829379639528,1.2152476896503477,1.2663829379639528,0.9400072,0.13800561,25.448482487102847,9.182894,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
