table,outcome,estimator,term,stata_coef,stata_se,python_coef,python_se,abs_diff_coef,abs_diff_se,match_coef,match_se,match_flag
T4,sagr,KOBDR,SR_mid,-0.029,0.01,-0.029300461801252554,0.009705157054334189,0.0003004618012525523,0.0002948429456658113,True,True,exact
T4,sagr,KOBDR,SR_near,0.031,0.011,0.030781928081483938,0.010674325023955177,0.00021807191851606206,0.00032567497604482284,True,True,exact
T4,sind,KOBDR,LR_far,-0.001,0.008,-0.0013311288796806486,0.007501535755171612,0.0003311288796806486,0.0004984642448283881,True,True,exact
T4,sind,KOBDR,LR_mid,-0.025,0.007,-0.024795387182388204,0.007131758325926035,0.00020461281761179756,0.00013175832592603447,True,True,exact
T4,sind,KOBDR,LR_near,-0.006,0.01,-0.005895029765529254,0.009706170129333539,0.00010497023447074601,0.00029382987066646146,True,True,exact
T4,sind,KOBDR,SR_far,-0.003,0.006,-0.0034386351182470985,0.0062806375987665575,0.00043863511824709846,0.0002806375987665574,True,True,exact
T4,sind,KOBDR,SR_mid,0.0,0.005,0.00015602194538899116,0.004755596068197232,0.00015602194538899116,0.00024440393180276843,True,True,exact
T4,sind,KOBDR,SR_near,-0.015,0.009,-0.015403243221383995,0.008605685971710044,0.0004032432213839955,0.0003943140282899552,True,True,exact
T4,sserv,KOBDR,LR_far,0.059,0.016,0.058627175168557706,0.01573847764133052,0.0003728248314422908,0.0002615223586694797,True,True,exact
T4,sserv,KOBDR,LR_mid,0.017,0.012,0.01681219753900902,0.012005501792324404,0.0001878024609909823,5.501792324403773e-06,True,True,exact
T4,sserv,KOBDR,LR_near,-0.026,0.013,-0.026398841055011578,0.013221063313605987,0.0003988410550115791,0.00022106331360598717,True,True,exact
T4,sserv,KOBDR,SR_far,0.022,0.009,0.02212735355812099,0.00892526915616382,0.00012735355812099058,7.473084383618003e-05,True,True,exact
T4,sserv,KOBDR,SR_mid,0.029,0.009,0.02914443985586354,0.009106068966421438,0.00014443985586353944,0.0001060689664214385,True,True,exact
T4,sserv,KOBDR,SR_near,-0.015,0.01,-0.015378684860099955,0.009612821799627046,0.00037868486009995546,0.0003871782003729545,True,True,exact
