GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country,pc1,pc1_index
COLr125,Arauca,Colombia,Y2019,0.633,0.87,0.737,0.74,274.4,Arauca (COL),0.08311395519352256,0.5937047676404901
COLr126,Casanare,Colombia,Y2013,0.61,0.881,0.716,0.727,332.3,Casanare (COL),-0.12320783660015115,0.5679769043751447
COLr126,Casanare,Colombia,Y2019,0.649,0.893,0.727,0.75,373.0,Casanare (COL),0.3767230907121981,0.6303171662941178
COLr127,Putumayo,Colombia,Y2013,0.581,0.828,0.689,0.692,329.8,Putumayo (COL),-1.1594458917385115,0.4387603501703034
COLr127,Putumayo,Colombia,Y2019,0.626,0.836,0.706,0.717,360.9,Putumayo (COL),-0.6144202583047915,0.5067238204910424
COLr128,San Andres,Colombia,Y2013,0.694,0.87,0.752,0.769,68.9,San Andres (COL),0.6301799731550024,0.6619226693214967
COLr128,San Andres,Colombia,Y2019,0.727,0.886,0.761,0.789,80.0,San Andres (COL),1.1181249679234855,0.7227683124175361
COLr129,Amazonas,Colombia,Y2013,0.607,0.825,0.638,0.684,83.8,Amazonas (COL),-1.4359513165765752,0.4042807457595682
COLr129,Amazonas,Colombia,Y2019,0.664,0.831,0.667,0.717,79.5,Amazonas (COL),-0.7314873099686451,0.49212582251952075
COLr130,Guainja,Colombia,Y2013,0.56,0.861,0.604,0.663,33.7,Guainja (COL),-1.6277293641203898,0.3803664546824709
COLr130,Guainja,Colombia,Y2019,0.568,0.888,0.595,0.67,43.3,Guainja (COL),-1.3351404208655955,0.41685163765596456
COLr131,Guaviare,Colombia,Y2013,0.621,0.874,0.703,0.725,55.4,Guaviare (COL),-0.2353396856798048,0.5539943150629276
COLr131,Guaviare,Colombia,Y2019,0.671,0.886,0.725,0.755,68.0,Guaviare (COL),0.4319024884379638,0.6371979130509717
COLr132,Vaupis,Colombia,Y2013,0.595,0.81,0.563,0.648,32.7,Vaupis (COL),-2.313058262902306,0.2949074828193177
COLr132,Vaupis,Colombia,Y2019,0.609,0.792,0.54,0.639,45.8,Vaupis (COL),-2.6141197144453656,0.25736579712325663
COLr133,Vichada,Colombia,Y2013,0.591,0.863,0.7,0.709,39.2,Vichada (COL),-0.5951152927844271,0.509131106260191
COLr133,Vichada,Colombia,Y2019,0.653,0.89,0.738,0.754,32.7,Vichada (COL),0.460879417390885,0.6408112709007131
ECUr101,Coste,Ecuador,Y2013,0.7,0.857,0.711,0.753,7230.5,Coste (ECU),0.18237314834349388,0.6060821657184632
ECUr101,Coste,Ecuador,Y2019,0.704,0.877,0.703,0.757,7997.4,Coste (ECU),0.3747171507663335,0.630067030095721
