geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
17852.0,7.0,1.005,1.0,78.0,106380.0,67.688446,72.248276,248039.16,130548.49,0.0,0.0,0.0
17857.0,1.0,1.0233333,1.0,78.0,286690.0,68.3481,69.51477,253335.45,136926.2,0.0,0.0,0.0
17857.0,2.0,1.0633333,1.0,78.0,286690.0,59.052635,59.529984,253335.45,136926.2,0.0,0.0,0.0
17857.0,3.0,1.105,1.0,78.0,286690.0,62.936314,66.90034,253335.45,136926.2,0.0,0.0,0.0
17857.0,4.0,1.0933334,1.0,78.0,286690.0,60.79846,57.447803,253335.45,136926.2,0.0,0.0,0.0
17857.0,5.0,1.0466666,1.0,78.0,286690.0,64.61571,64.57898,253335.45,136926.2,0.0,0.0,0.0
17857.0,6.0,1.0533333,1.0,78.0,286690.0,57.635868,58.582558,253335.45,136926.2,0.0,0.0,0.0
17857.0,7.0,1.0799999,1.0,78.0,286690.0,62.93934,66.50614,253335.45,136926.2,0.0,0.0,0.0
17866.0,1.0,1.1866666,1.0,78.0,177690.0,67.26465,67.993286,281563.25,169744.38,0.0,0.0,0.0
17866.0,2.0,1.2666667,1.0,78.0,177690.0,57.86062,57.899475,281563.25,169744.38,0.0,0.0,0.0
17866.0,3.0,1.4025,1.0,78.0,177690.0,61.018333,64.40118,281563.25,169744.38,0.0,0.0,0.0
17866.0,4.0,1.49,1.0,78.0,177690.0,58.616558,55.08728,281563.25,169744.38,0.0,0.0,0.0
17866.0,5.0,1.2866666,1.0,78.0,177690.0,62.50883,61.71733,281563.25,169744.38,0.0,0.0,0.0
17866.0,6.0,1.3933333,1.0,78.0,177690.0,55.74351,56.505127,281563.25,169744.38,0.0,0.0,0.0
17866.0,7.0,1.52,1.0,78.0,177690.0,60.85195,63.896267,281563.25,169744.38,0.0,0.0,0.0
17876.0,1.0,1.1133333,1.0,78.0,109420.0,63.399235,62.62426,230980.28,117956.6,0.0,0.0,0.0
17876.0,2.0,1.1233333,1.0,78.0,109420.0,55.90219,55.130154,230980.28,117956.6,0.0,0.0,0.0
17876.0,3.0,1.1424999,1.0,78.0,109420.0,59.75582,61.99453,230980.28,117956.6,0.0,0.0,0.0
17876.0,4.0,1.07,1.0,78.0,109420.0,57.461597,53.454224,230980.28,117956.6,0.0,0.0,0.0
17876.0,5.0,1.0533333,1.0,78.0,109420.0,61.612953,61.23772,230980.28,117956.6,0.0,0.0,0.0
17876.0,6.0,1.16,1.0,78.0,109420.0,54.44788,54.332905,230980.28,117956.6,0.0,0.0,0.0
17876.0,7.0,1.15,1.0,78.0,109420.0,59.28074,61.789078,230980.28,117956.6,0.0,0.0,0.0
17895.0,1.0,2.2666667,1.0,78.0,165990.0,63.399235,62.62426,232138.47,116895.41,0.0,0.0,0.0
17895.0,2.0,3.3266666,1.0,78.0,165990.0,55.90219,55.130154,232138.47,116895.41,0.0,0.0,0.0
17895.0,3.0,3.045,1.0,78.0,165990.0,59.75582,61.99453,232138.47,116895.41,0.0,0.0,0.0
17895.0,4.0,2.9766667,1.0,78.0,165990.0,57.461597,53.454224,232138.47,116895.41,0.0,0.0,0.0
17895.0,5.0,2.4066668,1.0,78.0,165990.0,61.612953,61.23772,232138.47,116895.41,0.0,0.0,0.0
17895.0,6.0,2.77,1.0,78.0,165990.0,54.44788,54.332905,232138.47,116895.41,0.0,0.0,0.0
17895.0,7.0,3.01,1.0,78.0,165990.0,59.28074,61.789078,232138.47,116895.41,0.0,0.0,0.0
17914.0,1.0,1.6033334,1.0,79.0,145190.0,59.70372,58.702835,217712.11,109811.945,0.0,0.0,0.0
17914.0,2.0,1.9966667,1.0,79.0,145190.0,53.00691,52.24197,217712.11,109811.945,0.0,0.0,0.0
17914.0,3.0,1.8775,1.0,79.0,145190.0,56.6542,58.138435,217712.11,109811.945,0.0,0.0,0.0
17914.0,4.0,1.8266666,1.0,79.0,145190.0,54.035656,50.34313,217712.11,109811.945,0.0,0.0,0.0
17914.0,5.0,1.6833333,1.0,79.0,145190.0,58.181366,58.04768,217712.11,109811.945,0.0,0.0,0.0
17914.0,6.0,2.19,1.0,79.0,145190.0,51.057953,50.95858,217712.11,109811.945,0.0,0.0,0.0
17914.0,7.0,2.15,1.0,79.0,145190.0,55.53677,57.681007,217712.11,109811.945,0.0,0.0,0.0
17947.0,1.0,1.9533333,1.0,79.0,70140.0,58.486,56.496067,202311.75,93190.18,0.0,0.0,0.0
17947.0,2.0,2.1966667,1.0,79.0,70140.0,53.283184,51.787785,202311.75,93190.18,0.0,0.0,0.0
17947.0,3.0,1.885,1.0,79.0,70140.0,57.75365,58.557186,202311.75,93190.18,0.0,0.0,0.0
17947.0,4.0,1.3833333,1.0,79.0,70140.0,56.53681,52.058174,202311.75,93190.18,0.0,0.0,0.0
17947.0,5.0,1.3366667,1.0,79.0,70140.0,60.79795,60.264606,202311.75,93190.18,0.0,0.0,0.0
17947.0,6.0,1.7166667,1.0,79.0,70140.0,53.039227,51.982544,202311.75,93190.18,0.0,0.0,0.0
