geocode,year,div,dist,pop,emp,pop_agr,pop_ind,pop_serv,density,pop91,rainm,rainsd,surban,prop_elec,jamuna_m,padma_m,treat,smp1,treatd
14284.0,1.0,1.0,42.0,143190.0,26140.0,18980.0,310.0,6850.0,909.9517,143190.0,63.743793,49.487793,0.08457295,0.028178936,208362.12,97232.97,0.0,0.0,0.0
14284.0,2.0,1.0,42.0,149460.0,28520.0,19860.0,410.0,8250.0,949.79663,143190.0,56.435066,54.0984,0.09393818,0.1879962,208362.12,97232.97,0.0,0.0,0.0
14284.0,3.0,1.0,42.0,147620.0,34480.0,15740.0,2520.0,16220.0,938.1037,143190.0,52.85891,55.742012,0.10879285,0.48385203,208362.12,97232.97,0.0,0.0,0.0
17838.0,1.0,1.0,78.0,286790.0,54020.0,37430.0,1190.0,15400.0,711.7967,286790.0,70.515724,62.181202,0.04194707,0.012712693,230946.89,113139.78,0.0,0.0,0.0
17838.0,2.0,1.0,78.0,306500.0,57380.0,40590.0,950.0,15840.0,760.71576,286790.0,62.916054,62.20684,0.048091356,0.22377977,230946.89,113139.78,0.0,0.0,0.0
17838.0,3.0,1.0,78.0,301220.0,74680.0,37960.0,8860.0,27860.0,747.61115,286790.0,60.231907,64.778404,0.054246064,0.38944575,230946.89,113139.78,0.0,0.0,0.0
17852.0,1.0,1.0,78.0,106380.0,24380.0,20520.0,300.0,3560.0,441.53906,106380.0,72.29573,67.09665,0.13367175,0.015888778,248039.16,130548.49,0.0,0.0,0.0
17852.0,2.0,1.0,78.0,119290.0,25210.0,20110.0,140.0,4960.0,495.12308,106380.0,64.849,64.918625,0.14385112,0.047658864,248039.16,130548.49,0.0,0.0,0.0
17852.0,3.0,1.0,78.0,123200.0,33140.0,22220.0,1880.0,9040.0,511.35187,106380.0,62.29345,67.34378,0.1637987,0.13754386,248039.16,130548.49,0.0,0.0,0.0
17866.0,1.0,1.0,78.0,177690.0,38950.0,29040.0,120.0,9790.0,402.07727,177690.0,67.14709,60.326015,0.114131354,0.038740158,281563.25,169744.38,0.0,0.0,0.0
17866.0,2.0,1.0,78.0,203100.0,47620.0,35350.0,280.0,11990.0,459.57504,177690.0,58.193268,57.564896,0.11486952,0.07175646,281563.25,169744.38,0.0,0.0,0.0
17866.0,3.0,1.0,78.0,238700.0,68640.0,45640.0,6100.0,16900.0,540.1308,177690.0,55.510437,58.964073,0.1535819,0.30384874,281563.25,169744.38,0.0,0.0,0.0
17876.0,1.0,1.0,78.0,109420.0,22070.0,17480.0,230.0,4360.0,698.1433,109420.0,66.314476,55.478577,0.16231036,0.03497469,230980.28,117956.6,0.0,0.0,0.0
17876.0,2.0,1.0,78.0,118500.0,25600.0,20640.0,270.0,4690.0,756.07733,109420.0,57.215725,55.70329,0.17232068,0.21167283,230980.28,117956.6,0.0,0.0,0.0
