year,Cluster,Division,District,rural,female,age5,age60,Age,hsize,DrinkWater,Toilet,Electricity,Floor,Roof,padma_m,jamuna_m,treat,smp1,yr
5.0,10.0,1.0,6.0,1.0,0.48979592,0.15646258,0.108843535,26.537415,5.612245,0.0,0.15384616,0.30769232,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,6.0,1.0,6.0,1.0,0.4532374,0.12230216,0.035971224,24.273382,5.201439,0.074074075,0.6296296,0.8518519,0.5925926,1.0,66725.055,182398.97,0.0,0.0,1.0
5.0,35.0,1.0,6.0,0.0,0.4899329,0.147651,0.08053691,25.932886,6.328859,0.06666667,0.3,0.73333335,0.3,1.0,66725.055,182398.97,0.0,0.0,1.0
4.0,401.0,1.0,6.0,0.0,0.5297619,0.16666667,0.065476194,22.880953,6.714286,0.0,0.125,0.8125,0.1875,1.0,66725.055,182398.97,0.0,0.0,1.0
3.0,125.0,1.0,6.0,1.0,0.50993377,0.13245033,0.0794702,24.07947,6.1788077,0.037037037,0.037037037,0.18518518,0.037037037,0.7407407,66725.055,182398.97,0.0,0.0,0.0
7.0,12.0,1.0,6.0,1.0,0.45112783,0.11278196,0.15789473,31.015038,9.849624,0.0,0.0,0.42857143,0.035714287,1.0,66725.055,182398.97,0.0,0.0,1.0
2.0,5.061052e+06,1.0,6.0,1.0,0.49541286,0.21100917,0.06422018,22.40367,6.834862,0.0,0.0,0.0,,0.45,66725.055,182398.97,0.0,0.0,0.0
2.0,5.060727e+06,1.0,6.0,1.0,0.5,0.16101696,0.06779661,23.474577,7.0508475,0.0,0.05,0.35,,0.9,66725.055,182398.97,0.0,0.0,0.0
2.0,5.063681e+06,1.0,6.0,1.0,0.5508475,0.22033899,0.042372882,20.533897,6.5423727,0.0,0.0,0.0,,0.4,66725.055,182398.97,0.0,0.0,0.0
5.0,8.0,1.0,6.0,1.0,0.4522293,0.10828026,0.11464968,28.484076,5.942675,0.0,0.15384616,0.53846157,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,27.0,1.0,6.0,1.0,0.45038167,0.18320611,0.07633588,24.93893,5.7633586,0.0,0.04,0.2,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,30.0,1.0,6.0,1.0,0.4055944,0.11888112,0.09090909,27.293707,5.5174823,0.0,0.18518518,0.7407407,0.14814815,0.962963,66725.055,182398.97,0.0,0.0,1.0
6.0,29.0,1.0,6.0,1.0,0.4829932,0.18367347,0.12244898,25.14966,5.8435373,0.0,0.0,0.9166667,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,13.0,1.0,6.0,1.0,0.50617284,0.11111111,0.09259259,26.876543,6.345679,0.0,0.0,0.10714286,0.035714287,1.0,66725.055,182398.97,0.0,0.0,1.0
4.0,9.0,1.0,6.0,1.0,0.5185185,0.12962963,0.061728396,25.290123,6.2098765,0.0,0.030303031,0.030303031,0.030303031,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,17.0,1.0,6.0,0.0,0.41860464,0.1007752,0.054263566,28.20155,4.860465,0.12903225,0.48387095,0.9677419,0.83870965,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,16.0,1.0,6.0,1.0,0.44186047,0.1627907,0.07751938,23.44186,5.248062,0.0,0.0,0.46153846,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,23.0,1.0,6.0,0.0,0.49586776,0.16528925,0.07438017,24.991735,5.46281,0.12,0.56,1.0,0.72,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,9.0,1.0,6.0,1.0,0.5072464,0.0942029,0.1594203,30.463768,5.188406,0.0,0.041666668,0.875,0.041666668,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,7.0,1.0,6.0,1.0,0.4469697,0.13636364,0.060606062,25.310606,10.30303,0.0,0.0,0.8333333,0.1,1.0,66725.055,182398.97,0.0,0.0,1.0
4.0,301.0,1.0,6.0,0.0,0.5177305,0.07801419,0.07092199,28.64539,5.6666665,0.114285715,0.51428574,0.94285715,0.74285716,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,10.0,1.0,6.0,1.0,0.48951048,0.11888112,0.13986014,28.55944,6.076923,0.0,0.06896552,0.55172414,0.13793103,1.0,66725.055,182398.97,0.0,0.0,1.0
6.0,25.0,1.0,6.0,0.0,0.4822695,0.120567374,0.09929078,29.198582,5.5248227,0.0,0.15625,0.84375,0.40625,1.0,66725.055,182398.97,0.0,0.0,1.0
3.0,122.0,1.0,6.0,1.0,0.51336896,0.24064171,0.04812834,20.470589,8.390374,0.0,0.0,0.0,0.0,0.37931034,66725.055,182398.97,0.0,0.0,0.0
7.0,11.0,1.0,6.0,1.0,0.44375,0.13125,0.08125,25.1125,12.95,0.0,0.0,0.41935483,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,67.0,1.0,6.0,0.0,0.48466256,0.08588957,0.061349694,25.86503,12.11043,0.0,0.0,0.9310345,0.06896552,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,70.0,1.0,6.0,0.0,0.4909091,0.1,0.09090909,30.627274,8.945455,0.16666667,0.7083333,1.0,0.9583333,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,14.0,1.0,6.0,1.0,0.45394737,0.16447368,0.125,27.328947,12.026316,0.0,0.1,0.7,0.36666667,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,72.0,1.0,6.0,0.0,0.46451613,0.13548388,0.08387097,25.412903,13.174193,0.0,0.4375,1.0,0.75,1.0,66725.055,182398.97,0.0,0.0,1.0
1.0,103.0,1.0,6.0,0.0,0.5,0.16129032,0.04032258,22.516129,5.806452,0.41379312,0.0,0.13793103,0.0,0.13793103,66725.055,182398.97,0.0,0.0,0.0
4.0,5.0,1.0,6.0,1.0,0.4060606,0.16363636,0.07878788,24.309092,7.6545453,0.05263158,0.078947365,0.5263158,0.078947365,0.9736842,66725.055,182398.97,0.0,0.0,1.0
