Country_ISO,year,n_regions,GINIW,GINI_unw,diff
FIN,1995,5,0.03579334695168122,0.037508259367232843,-0.0017149124155516268
FIN,2000,5,0.03388965715033673,0.03744255713700719,-0.003552899986670459
FIN,2005,5,0.03506640794301965,0.03748557735304957,-0.0024191694100299185
FIN,2010,5,0.03712550043784001,0.03967610966856892,-0.0025506092307289036
FRA,1995,21,0.039740580049028626,0.03224365646719264,0.007496923581835985
FRA,2000,21,0.03830284253308011,0.03230784108697617,0.005995001446103938
FRA,2005,21,0.04244120300411815,0.036644406349687964,0.0057967966544301835
FRA,2010,21,0.04057237703455289,0.0360776626278376,0.00449471440671529
GBR,1995,10,0.034632852104210674,0.034375472222960134,0.00025737988125053984
GBR,2000,10,0.0443214763593351,0.03805043416538864,0.0062710421939464606
GBR,2005,10,0.0451953309968629,0.04002810888250128,0.0051672221143616165
GBR,2010,10,0.04006467716942101,0.034198700069386474,0.005865977100034538
GRC,1995,8,0.02810572728888795,0.024386011565884155,0.003719715723003794
GRC,2000,8,0.024410976929712058,0.022729360861557274,0.0016816160681547843
GRC,2005,8,0.027545430757690226,0.021984073940344538,0.005561356817345688
GRC,2010,8,0.021700335779081256,0.01999460979840342,0.0017057259806778358
GTM,1995,22,0.09592024445149577,0.07263074688931355,0.023289497562182224
GTM,2005,22,0.0860903401513019,0.06323910335334341,0.022851236797958488
GTM,2008,22,0.0879449127009139,0.06639251173731586,0.021552400963598034
HND,1995,16,0.08049127316491804,0.06797878392920034,0.012512489235717697
HND,2000,16,0.07295140340668103,0.05932175261062547,0.013629650796055562
HND,2003,16,0.06747745398142303,0.0558260340470683,0.011651419934354736
HRV,2000,21,0.03181564913644067,0.046370217663026,-0.014554568526585328
HRV,2005,21,0.03212675002697581,0.043917454842532504,-0.01179070481555669
HRV,2010,21,0.046808243709329275,0.049592273356725856,-0.002784029647396581
HUN,2000,20,0.06988960023048466,0.039616483953677846,0.03027311627680681
HUN,2005,20,0.06809576487460708,0.035949278386358814,0.03214648648824827
HUN,2010,20,0.06892887972886069,0.042053902206795626,0.026874977522065066
IDN,1996,26,0.08857976044860928,0.11937743261485048,-0.0307976721662412
IDN,2005,26,0.08818561783261616,0.11254867036387246,-0.0243630525312563
IDN,2010,26,0.08296093758322233,0.10954560932502647,-0.026584671741804136
IND,1993,27,0.044651597130614146,0.09402390429626867,-0.04937230716565452
IND,2000,28,0.04511585964198521,0.10172473964992013,-0.05660888000793492
IND,2005,28,0.0474222692203019,0.10167410701236565,-0.05425183779206375
IND,2010,28,0.04307440448502244,0.09326167657367564,-0.050187272088653194
IRL,1995,7,0.040460782110890464,0.030413582000614735,0.010047200110275729
IRL,2000,7,0.036280096529108574,0.026436765976796502,0.009843330552312072
IRL,2005,7,0.03873450051900033,0.02681144617177821,0.011923054347222118
IRL,2010,7,0.03375253391528611,0.021329670485972892,0.01242286342931322
IRN,2000,25,0.05480683321112567,0.045301817507207146,0.009505015703918526
IRN,2005,25,0.05390115624999442,0.04118669265461211,0.012714463595382308
IRN,2010,25,0.05188056761086665,0.03913618188735804,0.012744385723508611
ITA,1995,20,0.020187548794952576,0.02818625988309544,-0.007998711088142863
