Country_ISO,year,GINIW,GINIW_pred_GDP_pc
TUR,2000,0.04925733802443453,0.056656252592802
TZA,1994,0.08771989076830286,0.0910142883658409
TZA,2000,0.09241856807612643,0.0979641750454902
TZA,2005,0.09149313551349603,0.097417801618576
TZA,2010,0.0933376025084667,0.0981886982917785
UKR,2005,0.0536460448736711,0.0500991828739643
UKR,2010,0.050007590795802,0.045513454824686
URY,1995,0.1487232125707486,0.1346928626298904
URY,2000,0.14444092355312738,0.1303240954875946
USA,1995,0.05077058808724163,0.04873026907444
USA,2000,0.05044597828166986,0.0492708571255207
USA,2005,0.050661381035763085,0.0482926443219184
USA,2010,0.051022163736408,0.049062393605709
UZB,1995,0.0841985665611533,0.0800786092877388
UZB,2000,0.08711046333496818,0.0798347443342208
UZB,2005,0.08948389866730122,0.0818012058734893
VNM,1995,0.08534718554597072,0.0693869739770889
VNM,2000,0.07543616741367479,0.063166856765747
VNM,2006,0.07095364791848663,0.0603813603520393
VNM,2008,0.07849916244362994,0.0602876879274845
ZAF,1995,0.03703398261514485,0.0719576850533485
ZAF,2000,0.03651398770314187,0.069994531571865
ZAF,2005,0.038375406807958236,0.0727111250162124
ZAF,2010,0.035853138720871244,0.0689683556556701
