intercept_mgwr_cs,beta1_mgwr_cs,beta2_mgwr_cs,beta3_mgwr_cs,beta4_mgwr_cs,unit_id
17.543198802467522,4.340530253851445,3.6710459795892514,3.473575570135799,2.8611611341875474,26
16.95806834611234,5.007373221840465,3.7903021017486522,3.6564937225792824,3.3585216833165057,27
16.665644664000766,5.3454630124762454,3.855210604354661,3.7968555838103133,3.652564159372555,28
16.66258800987706,5.559766139933779,3.918578095915052,3.9005135436084686,3.729204708740163,29
2.9906838119733123,3.7248441316586187,3.9649543592189302,2.8698919379213246,3.168229465245845,30
3.5508483879898147,3.702296478008963,3.9042702102887654,2.80470267220485,3.0905328938912184,31
4.430336115862325,3.667197528260924,3.8000798692179414,2.7282584702767365,2.9821637485766725,32
5.716508969171578,3.6418976514365715,3.6654732150346567,2.6350521577420585,2.7458720456659607,33
7.934560343098703,3.4831054511474684,3.4339399668623587,2.5038966198110475,2.37824929641522,34
10.766447843417374,3.257675475320706,3.075316818773678,2.36136364410249,1.9186062193938545,35
14.149735791766059,2.9096476606801223,2.5995917996514533,2.2084333086421895,1.472998089873715,36
17.541257805578912,2.4468202070135314,2.3439687193645917,2.1389315592256053,1.1106565545575977,37
19.832218415840874,2.206292669586717,2.5242080593829876,2.3460109896989487,0.8959352260483548,38
20.00153317629757,2.572879882006999,3.043119959076265,2.851087413455589,1.1521197177315132,39
19.366367024355657,3.185106361583812,3.43927000938631,3.247277894673888,1.8543904014757588,40
18.14534728612359,4.2235999478514,3.656646526642263,3.532513988639906,2.756891571837004,41
17.166083843285044,5.066917065928528,3.774051984567932,3.729555321697498,3.4003034730828894,42
16.954284142488202,5.417553409697418,3.8611162112276305,3.8754967593741365,3.6254690478551606,43
16.839014339987497,5.537675549202548,3.9015991601590945,3.9822589716266834,3.784609301897015,44
2.841435729473611,3.61138452473217,4.001466600402374,2.916337706338476,3.1095407506274215,45
3.549495160784719,3.532240084649262,3.9354786734758767,2.841755137101626,3.001823464408559,46
4.54569841622464,3.4636996301926404,3.850908921278079,2.7568468342340475,2.8014829432209267,47
6.173880512262194,3.3888048071160206,3.69294322941764,2.6430887647448866,2.503135266901016,48
8.318092016958278,3.3084256146458486,3.4382744301621733,2.465077185828408,2.1664987394938504,49
11.190539661524284,3.0606127677432835,3.0222397304894932,2.2764775018239956,1.812701055733711,50
14.744105947747325,2.599200580607673,2.578717273932129,2.145162081210769,1.3574036979678985,51
18.5942705633223,1.9760404996186873,2.3363780739998403,2.114436397550488,0.7863405892870143,52
20.788625667850173,1.8277024659013028,2.517629974869918,2.3391139088834105,0.6371286810803433,53
21.0069358207982,2.450280979237828,2.9570836416400246,2.7885603244173054,0.8400841461154356,54
20.02140602034496,3.287685672616068,3.374235942407399,3.2690532758269946,1.633762494305296,55
18.505469671911907,4.362789738995197,3.6226989182651326,3.6107969670126403,2.695664375383922,56
17.515044900643126,5.193763631136602,3.7632790449920828,3.822292744970628,3.4374808639272096,57
17.222502771990037,5.408750209050494,3.8381121517273393,3.9699713590538894,3.6925318863349124,58
17.217221153870604,5.513738866042017,3.8817438991524265,4.059985227527754,3.749671580119915,59
2.5925780714819844,3.4879395458960536,4.022517984163859,2.9675240099110005,3.051919906209288,60
3.3808661813288374,3.3395936194546385,3.976776398991244,2.902198774920112,2.9257994189264758,61
4.663366124784547,3.1817869361190168,3.8671536942028224,2.8023445221631995,2.710605791683767,62
6.366497042421411,3.11728851132777,3.7173303659074697,2.660103579446634,2.3847605134224703,63
8.563221785533361,3.1055370171858603,3.436640547527596,2.481483498254794,2.012851543867512,64
11.436407371795504,2.9567297926216773,2.980967098531183,2.2572858251306145,1.6985732625391456,65
15.242799537494964,2.4964119470376036,2.506731008103976,2.131845687563224,1.1641464755363333,66
19.24967488582275,1.8597640923389835,2.239613863807556,2.145187769282094,0.5368803048339179,67
21.578700068809443,1.6663943995129664,2.410655015479797,2.3812454230239792,0.3906827037204572,68
21.65229458580693,2.3331287175884734,2.8967772278884047,2.8412498948609697,0.7389620958740283,69
20.366521528380826,3.4116759972197412,3.301735860310822,3.361927240056805,1.6087296800493613,70
18.870316596101148,4.478504570760303,3.564126584722419,3.7200689872959596,2.6512266254803576,71
18.132909079975384,5.102381051385491,3.7188916297608197,3.9393553178398037,3.2766318827310386,72
17.908970405901496,5.346926651687141,3.8033145955172203,4.068938612874408,3.547307090480492,73
17.74354419381089,5.432165606301267,3.844153409399999,4.175370349011909,3.686979621057814,74
2.4583265909033685,3.3459763251025456,4.023839081467948,3.034496466555199,2.995463088992555,75
3.1843324032425997,3.222140250783678,3.9561129141470084,2.972079625126175,2.8721435784891542,76
4.385545094162495,3.0479870027032274,3.860571582072284,2.881922785727587,2.6979333255155935,77
6.340281794948655,2.881384916186431,3.6714250310658962,2.7382623469528085,2.3683890761203656,78
8.67984039247826,2.9086966787652755,3.370601956482147,2.5607099809109037,1.9257988637645855,79
11.417819342449267,2.9303035636236023,2.9453811567976644,2.3412944746745725,1.5792713870877364,80
15.167991875280618,2.5811442259886412,2.512425121718897,2.2061160179285206,1.0613871462110958,81
19.2690922102342,1.9698208403744453,2.243756009111373,2.230245085733557,0.46284677244535444,82
21.69681877514736,1.7422216966487079,2.4195338568739184,2.485987308153449,0.3277522547057191,83
21.843412579438706,2.25196152298055,2.8734651776357802,2.9447502820978686,0.8606045498477545,84
